#Size            Value           StdDev           Value           StdDev           Value           StdDev           Value           StdDev
15      0.494857142857  0.0914674520503  0.523656770537  0.0909670510832  0.403557699852  0.0678402520519          0.6672   0.041135872423
30      0.521047619048  0.0658183441129  0.520465151371  0.0739844327239  0.415502216523   0.055182994966  0.656933333333  0.0261350339583
48      0.528333333333  0.0568296226371  0.514321746324  0.0566930710013  0.534285714286  0.0477054276066  0.657333333333  0.0236079082795
