#Size            Value           StdDev           Value           StdDev           Value           StdDev           Value           StdDev
15                0.86  0.0337221764598  0.657403280081  0.0593609025316  0.562127834281  0.0528688424561  0.553142857143  0.0454691842023
30      0.904888888889  0.0198960260316  0.649654389456  0.0588780888544  0.551153621887  0.0419943077637  0.560952380952  0.0356093697064
48      0.858583333333  0.0155820458965  0.645709897874  0.0434718790479  0.605511565959  0.0435864457483  0.552321428571  0.0260894289893
