#Size           Value         StdDev          Value         StdDev          Value         StdDev    Value         StdDev
15            2785.98   180.27983692        2642.38  77.8680653413        2574.96  61.2555173025   2197.3  53.7610453767
30            7051.24  757.016897037  6062.17647059   128.23885586  5866.20454545  99.2827870153  5207.64  150.844789105
48      11455.5765766  364.360171021        10159.2  192.891057335  9760.94444444  198.715170875  8595.36  150.590538879
