#Size             Value           StdDev  Value  StdDev           Value           StdDev
15       0.273704244656  0.0451866707151    1.0     0.0   0.31891643629  0.0510281836973
30        0.18322923133  0.0250868732716      ?       ?  0.226195566665  0.0422167988858
48      0.0888717278901  0.0100364663079      ?       ?  0.112515279802  0.0176463990188
