#Size      Value         StdDev          Value         StdDev          Value         StdDev     Value         StdDev
15       5814.14  555.063924607        2656.16  74.4189115749        2601.38  70.7889511153   2665.16  80.9472321948
30       15036.2  901.274231297  6054.30952381   105.69959411  5853.16216216  109.798221202   6695.56  1458.31832136
48      23076.56  1085.68728757       10264.35  215.495307374       23430.08  999.632909422  10351.64  147.244118388
