#Size           Value         StdDev          Value         StdDev          Value         StdDev    Value         StdDev
15            1148.28   86.048600221        1704.62  85.5761391978        1621.92  60.9769923824  1029.58  24.0516860116
30            2610.72  710.939829803  3374.32352941  237.062503621  3193.31818182  207.703544497  2108.14  57.0950120413
48      4075.15315315  143.250501828  6979.53333333  548.974421586  6885.33333333  819.159257342  3463.18  58.1758334706
