#Size            Value           StdDev           Value           StdDev           Value           StdDev           Value           StdDev
15      0.849142857143  0.0439896916393  0.678730380851  0.0688465460851  0.622947581377  0.0732369690324          0.5224  0.0538435594003
30               0.902  0.0259441227577  0.642703044476  0.0461658284889  0.627221061552  0.0459995682749  0.545066666667  0.0415384159544
48      0.852638352638  0.0256328878188  0.655529347166  0.0371442352819  0.616764488791  0.0652551495059  0.526876220363  0.0352424086019
