#Size            Value           StdDev  Value  StdDev  Value  StdDev           Value           StdDev
15      0.313133131695  0.0719875494368    1.0     0.0    1.0     0.0  0.319663732163  0.0585854831943
30      0.206216801508  0.0309069624977    1.0     0.0    1.0     0.0  0.234601552291  0.0407924868985
48      0.102334632524  0.0156944835378    1.0     0.0    1.0     0.0  0.124899501062  0.0222600405997
